phase,epoch,step,elapsed_s,loss,l_cycle,l_constr,l_reg,mae,sam,psnr,ssim
train,1,,2.54,5580.615609975962,0.07970985082479623,5580.535982572115,0.06713566355980359,0.15926927557358375,0.9714135756859412,14.055288461538462,0.06125444961855045
val,1,,2.63,3341.3348795572915,0.061404271672169365,3341.2734375,0.05737747251987457,0.1227344423532486,0.9988733927408854,16.476030985514324,0.1192341794570287
train,2,,1.66,2645.266657902644,0.06246050733786363,2645.2041672926684,0.06748041768486683,0.12485200625199538,0.9019997165753291,16.43576563321627,0.1226825169645823
val,2,,1.75,3020.8712565104165,0.06414937973022461,3020.807088216146,0.06117952615022659,0.12823118269443512,0.9671277602513632,15.934521357218424,0.12246231734752655
train,3,,1.52,2507.0216440054087,0.05590994283556938,2506.9657170222354,0.0655150250173532,0.11176064209296153,0.8031530380249023,17.32180434006911,0.12463438510894775
val,3,,1.64,1633.4004720052083,0.05333796143531799,1633.3470458984375,0.06085415557026863,0.1066139539082845,0.8179349501927694,17.766419728597004,0.1303774764140447
train,4,,1.88,2375.865027794471,0.05322166274373348,2375.811758188101,0.06564610938613231,0.10638026721202411,0.7657207479843726,17.614473342895508,0.13348058209969446
val,4,,2.0,2276.7804361979165,0.055715865145126976,2276.7246907552085,0.06612454603115718,0.11136285960674286,0.7923710942268372,17.224711100260418,0.132428507010142
train,5,,1.86,2473.7999079777646,0.05169169260905339,2473.7481971153848,0.06598616964541949,0.10331478714942932,0.7430431292607234,17.92548634455754,0.13373591980108848
val,5,,1.96,3459.9913736979165,0.04999041681488355,3459.9413248697915,0.05284320066372553,0.09990047663450241,0.8181979258855184,18.279225667317707,0.13441490133603415
train,6,,1.67,2301.9800461989184,0.04960647425972498,2301.930382361779,0.06650184983244309,0.09914432351405804,0.688681607063,18.19113511305589,0.13887287905583015
val,6,,1.8,3109.953409830729,0.045687709003686905,3109.90771484375,0.06164133921265602,0.0912906676530838,0.6946128606796265,19.010749181111652,0.1601263533035914
train,7,,1.66,2353.0048828125,0.047127331678683944,2352.9576885516826,0.06740536626714927,0.09417468194778149,0.6453404564123887,18.58564098064716,0.15614634064527658
val,7,,1.77,2277.4573567708335,0.04304808626572291,2277.414306640625,0.04983421663443247,0.0859789897998174,0.7730871438980103,19.473216374715168,0.1921713650226593
train,8,,1.76,2214.3638540414663,0.0459251833649782,2214.317880483774,0.06709088814946321,0.09175414935900615,0.6254755854606628,18.8417114844689,0.16227915195318368
val,8,,1.87,2176.49560546875,0.05026562511920929,2176.4452311197915,0.0569974792500337,0.10036916037400563,0.7374115784962972,18.16956901550293,0.1787598580121994
train,9,,1.57,2199.2425443209136,0.045305412262678146,2199.1971905048076,0.0683662541783773,0.09049502874796207,0.6014337539672852,18.973683724036583,0.16566092463640067
val,9,,1.67,2515.014444986979,0.046646094570557274,2514.967814127604,0.05722699190179507,0.09310009082158406,0.7411594390869141,18.54212760925293,0.21563569207986197
train,10,,1.6,2202.9664682241587,0.044218603235024675,2202.9222130408652,0.0688672148837493,0.08829656300636438,0.5907738048296708,19.11983900803786,0.18214066670491144
val,10,,1.71,3011.5292154947915,0.04263618215918541,3011.486572265625,0.06370651846130689,0.0850515862305959,0.6434416770935059,19.2796630859375,0.2377092937628428
train,1,,2.55,5569.684701772837,0.07936730637000157,5569.6052809495195,0.06550636830238196,0.1585789185303908,0.979058577464177,14.055471933805025,0.06092066360780826
val,1,,2.64,3540.7350260416665,0.06486210972070694,3540.670166015625,0.06090803320209185,0.12965034693479538,1.0213796297709148,15.997645696004232,0.11808109283447266
train,2,,1.59,2650.3901648888223,0.06252493193516365,2650.327627328726,0.0665199702175764,0.1249804193010697,0.9227423026011541,16.43239974975586,0.12140962481498718
val,2,,1.7,3048.744344075521,0.06071684633692106,3048.6836751302085,0.05571444891393185,0.12136700252691905,0.9725815852483114,16.53619893391927,0.12155474722385406
